height_m,temperature_2015_celsius,temperature_2016_celsius,borehole,yearDrilled,dateDrilled,depth_m,latitude_WGS84,longitude_WGS84,Elevation_m
125,,-6,15-N,2015,7/17/15,640,67.183124,-49.566914,978
135,,-6.44,15-N,2015,7/17/15,640,67.183124,-49.566914,978
145,,-6.81,15-N,2015,7/17/15,640,67.183124,-49.566914,978
165,,-7.56,15-N,2015,7/17/15,640,67.183124,-49.566914,978
185,,-8.25,15-N,2015,7/17/15,640,67.183124,-49.566914,978
205,,-8.88,15-N,2015,7/17/15,640,67.183124,-49.566914,978
225,,-9.5,15-N,2015,7/17/15,640,67.183124,-49.566914,978
245,,-9.94,15-N,2015,7/17/15,640,67.183124,-49.566914,978
265,,-10.38,15-N,2015,7/17/15,640,67.183124,-49.566914,978
305,,-11,15-N,2015,7/17/15,640,67.183124,-49.566914,978
325,,-11.25,15-N,2015,7/17/15,640,67.183124,-49.566914,978
345,,-11.38,15-N,2015,7/17/15,640,67.183124,-49.566914,978
365,,-11.5,15-N,2015,7/17/15,640,67.183124,-49.566914,978
385,,-11.56,15-N,2015,7/17/15,640,67.183124,-49.566914,978
405,,-11.56,15-N,2015,7/17/15,640,67.183124,-49.566914,978
425,,-11.63,15-N,2015,7/17/15,640,67.183124,-49.566914,978
445,,-11.69,15-N,2015,7/17/15,640,67.183124,-49.566914,978
465,,-11.63,15-N,2015,7/17/15,640,67.183124,-49.566914,978
485,,-11.63,15-N,2015,7/17/15,640,67.183124,-49.566914,978
505,,-11.44,15-N,2015,7/17/15,640,67.183124,-49.566914,978
525,,-11.44,15-N,2015,7/17/15,640,67.183124,-49.566914,978
545,,-11.06,15-N,2015,7/17/15,640,67.183124,-49.566914,978
585,,-10.56,15-N,2015,7/17/15,640,67.183124,-49.566914,978
605,,-10.38,15-N,2015,7/17/15,640,67.183124,-49.566914,978
625,,-9.56,15-N,2015,7/17/15,640,67.183124,-49.566914,978
5,,-0.38,15-S,2015,7/11/15,677,67.180939,-49.566663,979
15,,-0.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
25,,-1.13,15-S,2015,7/11/15,677,67.180939,-49.566663,979
35,,-1.56,15-S,2015,7/11/15,677,67.180939,-49.566663,979
45,,-2,15-S,2015,7/11/15,677,67.180939,-49.566663,979
55,,-2.44,15-S,2015,7/11/15,677,67.180939,-49.566663,979
65,,-2.88,15-S,2015,7/11/15,677,67.180939,-49.566663,979
75,,-3.38,15-S,2015,7/11/15,677,67.180939,-49.566663,979
85,,-3.81,15-S,2015,7/11/15,677,67.180939,-49.566663,979
95,,-4.25,15-S,2015,7/11/15,677,67.180939,-49.566663,979
105,,-4.69,15-S,2015,7/11/15,677,67.180939,-49.566663,979
115,,-5.06,15-S,2015,7/11/15,677,67.180939,-49.566663,979
125,,-5.5,15-S,2015,7/11/15,677,67.180939,-49.566663,979
135,,-5.88,15-S,2015,7/11/15,677,67.180939,-49.566663,979
145,,-6.25,15-S,2015,7/11/15,677,67.180939,-49.566663,979
165,,-6.88,15-S,2015,7/11/15,677,67.180939,-49.566663,979
185,,-7.56,15-S,2015,7/11/15,677,67.180939,-49.566663,979
205,,-8.19,15-S,2015,7/11/15,677,67.180939,-49.566663,979
225,,-8.56,15-S,2015,7/11/15,677,67.180939,-49.566663,979
245,,-9.13,15-S,2015,7/11/15,677,67.180939,-49.566663,979
265,,-9.56,15-S,2015,7/11/15,677,67.180939,-49.566663,979
285,,-9.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
305,,-10.06,15-S,2015,7/11/15,677,67.180939,-49.566663,979
325,,-10.44,15-S,2015,7/11/15,677,67.180939,-49.566663,979
345,,-10.38,15-S,2015,7/11/15,677,67.180939,-49.566663,979
365,,-10.69,15-S,2015,7/11/15,677,67.180939,-49.566663,979
385,,-10.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
405,,-10.81,15-S,2015,7/11/15,677,67.180939,-49.566663,979
425,,-10.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
445,,-10.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
465,,-10.75,15-S,2015,7/11/15,677,67.180939,-49.566663,979
485,,-10.69,15-S,2015,7/11/15,677,67.180939,-49.566663,979
505,,-10.63,15-S,2015,7/11/15,677,67.180939,-49.566663,979
525,,-10.31,15-S,2015,7/11/15,677,67.180939,-49.566663,979
545,,-10.38,15-S,2015,7/11/15,677,67.180939,-49.566663,979
565,,-10.31,15-S,2015,7/11/15,677,67.180939,-49.566663,979
585,,-10.06,15-S,2015,7/11/15,677,67.180939,-49.566663,979
605,,-9.25,15-S,2015,7/11/15,677,67.180939,-49.566663,979
625,,-8.94,15-S,2015,7/11/15,677,67.180939,-49.566663,979
